Repository,File Name,Class,Start Line,End Line,Displacement,Level
blogs,factories.py,Simple List,19,19,17,A1
blogs,factories.py,Simple Tuple,10,10,4,A1
blogs,factories.py,1 List Dictionary,18,20,11,B1
blogs,factories.py,Simple Dictionary,12,16,17,A2
blogs,factories.py,Simple Atributte,10,10,14,A2
blogs,factories.py,Simple Atributte,10,10,14,A2
blogs,factories.py,Simple Atributte,14,14,27,A2
blogs,factories.py,Simple Atributte,15,15,24,A2
blogs,factories.py,Simple Assignment,10,17,4,A1
blogs,factories.py,From,3,3,0,A2
blogs,factories.py,From,5,5,0,A2
blogs,factories.py,Alias,3,3,24,A1
blogs,factories.py,Alias,5,5,30,A1
blogs,factories.py,Function,8,20,0,A1
blogs,factories.py,Return,18,20,4,A1
migrations,0002_remove_translations_and_contributors.py,Simple List,7,9,19,A1
migrations,0002_remove_translations_and_contributors.py,Simple List,11,38,17,A1
migrations,0002_remove_translations_and_contributors.py,Simple Tuple,8,8,8,A1
migrations,0002_remove_translations_and_contributors.py,Simple Atributte,6,6,16,A2
migrations,0002_remove_translations_and_contributors.py,Simple Atributte,12,12,8,A2
migrations,0002_remove_translations_and_contributors.py,Simple Atributte,16,16,8,A2
migrations,0002_remove_translations_and_contributors.py,Simple Atributte,20,20,8,A2
migrations,0002_remove_translations_and_contributors.py,Simple Atributte,24,24,8,A2
migrations,0002_remove_translations_and_contributors.py,Simple Atributte,28,28,8,A2
migrations,0002_remove_translations_and_contributors.py,Simple Atributte,32,32,8,A2
migrations,0002_remove_translations_and_contributors.py,Simple Atributte,35,35,8,A2
migrations,0002_remove_translations_and_contributors.py,Simple Assignment,7,9,4,A1
migrations,0002_remove_translations_and_contributors.py,Simple Assignment,11,38,4,A1
migrations,0002_remove_translations_and_contributors.py,From,3,3,0,A2
migrations,0002_remove_translations_and_contributors.py,Alias,3,3,22,A1
migrations,0002_remove_translations_and_contributors.py,Simple Class ,6,38,0,B1
migrations,0004_normalize_blogentry_urls.py,Simple List,23,25,19,A1
migrations,0004_normalize_blogentry_urls.py,Simple List,27,32,17,A1
migrations,0004_normalize_blogentry_urls.py,Simple Tuple,24,24,8,A1
migrations,0004_normalize_blogentry_urls.py,Simple Atributte,22,22,16,A2
migrations,0004_normalize_blogentry_urls.py,Simple Atributte,16,16,16,A2
migrations,0004_normalize_blogentry_urls.py,Simple Atributte,17,17,4,A2
migrations,0004_normalize_blogentry_urls.py,Simple Atributte,28,28,8,A2
migrations,0004_normalize_blogentry_urls.py,Simple Atributte,17,17,4,A2
migrations,0004_normalize_blogentry_urls.py,Simple Atributte,30,30,25,A2
migrations,0004_normalize_blogentry_urls.py,Simple Atributte,17,17,4,A2
migrations,0004_normalize_blogentry_urls.py,Simple Atributte,30,30,25,A2
migrations,0004_normalize_blogentry_urls.py,Simple Assignment,16,16,4,A1
migrations,0004_normalize_blogentry_urls.py,Simple Assignment,23,25,4,A1
migrations,0004_normalize_blogentry_urls.py,Simple Assignment,27,32,4,A1
migrations,0004_normalize_blogentry_urls.py,From,10,10,0,A2
migrations,0004_normalize_blogentry_urls.py,From,11,11,0,A2
migrations,0004_normalize_blogentry_urls.py,From,12,12,0,A2
migrations,0004_normalize_blogentry_urls.py,Alias,10,10,22,A1
migrations,0004_normalize_blogentry_urls.py,Alias,11,11,29,A1
migrations,0004_normalize_blogentry_urls.py,Alias,12,12,39,A1
migrations,0004_normalize_blogentry_urls.py,Function with Simple argument,15,19,0,A1
migrations,0004_normalize_blogentry_urls.py,Simple Class ,22,32,0,B1
migrations,0001_initial.py,Simple List,7,9,19,A1
migrations,0001_initial.py,Simple List,11,173,17,A1
migrations,0001_initial.py,Simple List,14,20,19,A1
migrations,0001_initial.py,Simple List,30,60,19,A1
migrations,0001_initial.py,Simple List,70,76,19,A1
migrations,0001_initial.py,Simple List,82,88,19,A1
migrations,0001_initial.py,Simple List,94,124,19,A1
migrations,0001_initial.py,Simple List,133,159,19,A1
migrations,0001_initial.py,Simple Tuple,26,26,18,A1
migrations,0001_initial.py,Simple Tuple,66,66,18,A1
migrations,0001_initial.py,Simple Tuple,78,78,18,A1
migrations,0001_initial.py,Simple Tuple,90,90,18,A1
migrations,0001_initial.py,Simple Tuple,129,129,18,A1
migrations,0001_initial.py,Simple Tuple,165,165,18,A1
migrations,0001_initial.py,Simple Tuple,15,15,16,A1
migrations,0001_initial.py,Simple Tuple,16,16,16,A1
migrations,0001_initial.py,Simple Tuple,17,17,16,A1
migrations,0001_initial.py,Simple Tuple,18,18,16,A1
migrations,0001_initial.py,Simple Tuple,19,19,16,A1
migrations,0001_initial.py,Simple Tuple,31,31,16,A1
migrations,0001_initial.py,Simple Tuple,32,32,16,A1
migrations,0001_initial.py,Simple Tuple,33,33,16,A1
migrations,0001_initial.py,Simple Tuple,34,43,16,A1
migrations,0001_initial.py,Simple Tuple,44,53,16,A1
migrations,0001_initial.py,Simple Tuple,54,59,16,A1
migrations,0001_initial.py,Simple Tuple,64,64,28,A1
