case,file,file_name,function,parent,lineno,endline,complexity,radon_grade,radon_grade_num,n_pycefr_constructs,n_pycefr_classes,max_level_num,max_level,mean_level_num,level_counts,top_classes,case_type
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mymodule.py,mymodule.py,generate_full_name,,1,4,1,A,1,8,4,1,A1,1.0,"{""A1"": 8}","{""Simple Assignment"": 2, ""Assigment with sum (total = total + 1)"": 2, ""Function with Simple argument"": 2, ""Return"": 2}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mymodule.py,mymodule.py,sum_two_nums,,7,8,1,A,1,4,3,1,A1,1.0,"{""A1"": 4}","{""Return"": 2, ""Simple Assignment"": 1, ""Function with Simple argument"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/12_Day_Modules/mymodule.py,mymodule.py,generate_full_name,,1,4,1,A,1,8,4,1,A1,1.0,"{""A1"": 8}","{""Simple Assignment"": 2, ""Assigment with sum (total = total + 1)"": 2, ""Function with Simple argument"": 2, ""Return"": 2}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/12_Day_Modules/mymodule.py,mymodule.py,sum_two_nums,,6,7,1,A,1,2,2,1,A1,1.0,"{""A1"": 2}","{""Function with Simple argument"": 1, ""Return"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/20_Day_Python_package_manager/arithmetic.py,arithmetic.py,add_numbers,,1,5,2,A,1,5,5,3,B1,1.6,"{""A1"": 3, ""A2"": 1, ""B1"": 1}","{""Simple Assignment"": 1, ""Simplified incremental Assignment with increase amount"": 1, ""Simple For Loop"": 1, ""Function with * argument "": 1, ""Return"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/20_Day_Python_package_manager/arithmetic.py,arithmetic.py,subtract,,8,9,1,A,1,2,2,1,A1,1.0,"{""A1"": 2}","{""Function with Simple argument"": 1, ""Return"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/20_Day_Python_package_manager/arithmetic.py,arithmetic.py,multiple,,12,13,1,A,1,2,2,1,A1,1.0,"{""A1"": 2}","{""Function with Simple argument"": 1, ""Return"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/20_Day_Python_package_manager/arithmetic.py,arithmetic.py,division,,16,17,1,A,1,2,2,1,A1,1.0,"{""A1"": 2}","{""Function with Simple argument"": 1, ""Return"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/20_Day_Python_package_manager/arithmetic.py,arithmetic.py,remainder,,20,21,1,A,1,2,2,1,A1,1.0,"{""A1"": 2}","{""Function with Simple argument"": 1, ""Return"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/20_Day_Python_package_manager/arithmetic.py,arithmetic.py,power,,24,25,1,A,1,2,2,1,A1,1.0,"{""A1"": 2}","{""Function with Simple argument"": 1, ""Return"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/20_Day_Python_package_manager/greet.py,greet.py,greet_person,,1,2,1,A,1,10,4,1,A1,1.0,"{""A1"": 10}","{""Formatted Value"": 4, ""Joined String"": 2, ""Function with Simple argument"": 2, ""Return"": 2}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/python_for_web/app.py,app.py,post,,29,35,3,A,1,11,6,2,A2,1.2727272727272727,"{""A1"": 8, ""A2"": 3}","{""Simple Atributte"": 3, ""Simple Assignment"": 2, ""Simple If statements"": 2, ""Return"": 2, ""Subscript"": 1, ""Function"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/python_for_web/app.py,app.py,home,,11,14,1,A,1,5,4,1,A1,1.0,"{""A1"": 5}","{""Simple Assignment"": 2, ""Simple List"": 1, ""Function"": 1, ""Return"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/python_for_web/app.py,app.py,about,,18,20,1,A,1,3,3,1,A1,1.0,"{""A1"": 3}","{""Simple Assignment"": 1, ""Function"": 1, ""Return"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/python_for_web/app.py,app.py,result,,24,25,1,A,1,2,2,1,A1,1.0,"{""A1"": 2}","{""Function"": 1, ""Return"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mypackage/arithmetics.py,arithmetics.py,add_numbers,,1,5,2,A,1,5,5,3,B1,1.6,"{""A1"": 3, ""A2"": 1, ""B1"": 1}","{""Simple Assignment"": 1, ""Simplified incremental Assignment with increase amount"": 1, ""Simple For Loop"": 1, ""Function with * argument "": 1, ""Return"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mypackage/arithmetics.py,arithmetics.py,subtract,,8,9,1,A,1,2,2,1,A1,1.0,"{""A1"": 2}","{""Function with Simple argument"": 1, ""Return"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mypackage/arithmetics.py,arithmetics.py,multiple,,12,13,1,A,1,2,2,1,A1,1.0,"{""A1"": 2}","{""Function with Simple argument"": 1, ""Return"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mypackage/arithmetics.py,arithmetics.py,division,,16,17,1,A,1,2,2,1,A1,1.0,"{""A1"": 2}","{""Function with Simple argument"": 1, ""Return"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mypackage/arithmetics.py,arithmetics.py,remainder,,20,21,1,A,1,2,2,1,A1,1.0,"{""A1"": 2}","{""Function with Simple argument"": 1, ""Return"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mypackage/arithmetics.py,arithmetics.py,power,,24,25,1,A,1,2,2,1,A1,1.0,"{""A1"": 2}","{""Function with Simple argument"": 1, ""Return"": 1}",Sin patrón destacado
30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mypackage/greet.py,greet.py,greet_person,,1,2,1,A,1,10,4,1,A1,1.0,"{""A1"": 10}","{""Formatted Value"": 4, ""Joined String"": 2, ""Function with Simple argument"": 2, ""Return"": 2}",Sin patrón destacado
