case,project,file,file_name,type,name,complexity,radon_grade,radon_grade_num,lineno,endline,col_offset,parent,closure_depth,source_file
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mymodule.py,mymodule.py,function,generate_full_name,1,A,1,1,4,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mymodule.py,mymodule.py,function,sum_two_nums,1,A,1,7,8,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/12_Day_Modules/mymodule.py,mymodule.py,function,generate_full_name,1,A,1,1,4,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/12_Day_Modules/mymodule.py,mymodule.py,function,sum_two_nums,1,A,1,6,7,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/20_Day_Python_package_manager/arithmetic.py,arithmetic.py,function,add_numbers,2,A,1,1,5,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/20_Day_Python_package_manager/arithmetic.py,arithmetic.py,function,subtract,1,A,1,8,9,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/20_Day_Python_package_manager/arithmetic.py,arithmetic.py,function,multiple,1,A,1,12,13,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/20_Day_Python_package_manager/arithmetic.py,arithmetic.py,function,division,1,A,1,16,17,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/20_Day_Python_package_manager/arithmetic.py,arithmetic.py,function,remainder,1,A,1,20,21,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/20_Day_Python_package_manager/arithmetic.py,arithmetic.py,function,power,1,A,1,24,25,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/20_Day_Python_package_manager/greet.py,greet.py,function,greet_person,1,A,1,1,2,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/python_for_web/app.py,app.py,function,post,3,A,1,29,35,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/python_for_web/app.py,app.py,function,home,1,A,1,11,14,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/python_for_web/app.py,app.py,function,about,1,A,1,18,20,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/python_for_web/app.py,app.py,function,result,1,A,1,24,25,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mypackage/arithmetics.py,arithmetics.py,function,add_numbers,2,A,1,1,5,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mypackage/arithmetics.py,arithmetics.py,function,subtract,1,A,1,8,9,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mypackage/arithmetics.py,arithmetics.py,function,multiple,1,A,1,12,13,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mypackage/arithmetics.py,arithmetics.py,function,division,1,A,1,16,17,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mypackage/arithmetics.py,arithmetics.py,function,remainder,1,A,1,20,21,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mypackage/arithmetics.py,arithmetics.py,function,power,1,A,1,24,25,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
30-Days-Of-Python,30-Days-Of-Python,/home/juan/Documents/Analisis-CC-PyCEFR/30-Days-Of-Python/mypackage/greet.py,greet.py,function,greet_person,1,A,1,1,2,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json
