Repository,File Name,Class,Start Line,End Line,Displacement,Level
02_Day_Variables_builtin_functions,variables.py,Simple List,10,10,9,A1
02_Day_Variables_builtin_functions,variables.py,Simple Tuple,33,33,0,A1
02_Day_Variables_builtin_functions,variables.py,Simple Tuple,33,33,50,A1
02_Day_Variables_builtin_functions,variables.py,Simple Dictionary,11,16,14,A2
02_Day_Variables_builtin_functions,variables.py,Print,20,20,0,A1
02_Day_Variables_builtin_functions,variables.py,Print,21,21,0,A1
02_Day_Variables_builtin_functions,variables.py,Print,22,22,0,A1
02_Day_Variables_builtin_functions,variables.py,Print,23,23,0,A1
02_Day_Variables_builtin_functions,variables.py,Print,24,24,0,A1
02_Day_Variables_builtin_functions,variables.py,Print,25,25,0,A1
02_Day_Variables_builtin_functions,variables.py,Print,26,26,0,A1
02_Day_Variables_builtin_functions,variables.py,Print,27,27,0,A1
02_Day_Variables_builtin_functions,variables.py,Print,28,28,0,A1
02_Day_Variables_builtin_functions,variables.py,Print,29,29,0,A1
02_Day_Variables_builtin_functions,variables.py,Print,35,35,0,A1
02_Day_Variables_builtin_functions,variables.py,Print,36,36,0,A1
02_Day_Variables_builtin_functions,variables.py,Print,37,37,0,A1
02_Day_Variables_builtin_functions,variables.py,Print,38,38,0,A1
02_Day_Variables_builtin_functions,variables.py,Print,39,39,0,A1
02_Day_Variables_builtin_functions,variables.py,Print,40,40,0,A1
02_Day_Variables_builtin_functions,variables.py,Simple Assignment,4,4,0,A1
02_Day_Variables_builtin_functions,variables.py,Simple Assignment,5,5,0,A1
02_Day_Variables_builtin_functions,variables.py,Simple Assignment,6,6,0,A1
02_Day_Variables_builtin_functions,variables.py,Simple Assignment,7,7,0,A1
02_Day_Variables_builtin_functions,variables.py,Simple Assignment,8,8,0,A1
02_Day_Variables_builtin_functions,variables.py,Simple Assignment,9,9,0,A1
02_Day_Variables_builtin_functions,variables.py,Simple Assignment,10,10,0,A1
02_Day_Variables_builtin_functions,variables.py,Simple Assignment,11,16,0,A1
02_Day_Variables_builtin_functions,variables.py,Simple Assignment,33,33,0,A1
12_Day_Modules,main.py,Print,3,3,0,A1
12_Day_Modules,main.py,Print,4,4,0,A1
12_Day_Modules,main.py,Print,6,6,0,A1
12_Day_Modules,main.py,Print,8,8,0,A1
12_Day_Modules,main.py,Print,9,9,0,A1
12_Day_Modules,main.py,Print,10,10,0,A1
12_Day_Modules,main.py,Subscript,10,10,6,A1
12_Day_Modules,main.py,Simple Assignment,5,5,0,A1
12_Day_Modules,main.py,Assigment with sum (total = total + 1),7,7,0,A1
12_Day_Modules,main.py,From with 'as' extension  with 'as' extension  with 'as' extension  with 'as' extension ,2,2,0,B1
12_Day_Modules,main.py,Alias,2,2,21,A1
12_Day_Modules,main.py,Alias,2,2,53,A1
12_Day_Modules,main.py,Alias,2,2,76,A1
12_Day_Modules,main.py,Alias,2,2,89,A1
12_Day_Modules,mymodule.py,Simple Dictionary,9,14,9,A2
12_Day_Modules,mymodule.py,Simple Assignment,8,8,0,A1
12_Day_Modules,mymodule.py,Simple Assignment,9,14,0,A1
12_Day_Modules,mymodule.py,Simple Assignment,2,2,6,A1
12_Day_Modules,mymodule.py,Assigment with sum (total = total + 1),3,3,6,A1
12_Day_Modules,mymodule.py,Function with Simple argument,1,4,0,A1
12_Day_Modules,mymodule.py,Function with Simple argument,6,7,0,A1
12_Day_Modules,mymodule.py,Return,4,4,6,A1
12_Day_Modules,mymodule.py,Return,7,7,4,A1
05_Day_Lists,day_5.py,Simple List,5,5,9,A1
05_Day_Lists,day_5.py,Simple List,6,7,13,A1
05_Day_Lists,day_5.py,Simple List,8,9,18,A1
05_Day_Lists,day_5.py,Simple List,10,11,12,A1
05_Day_Lists,day_5.py,Simple List,12,12,12,A1
05_Day_Lists,day_5.py,Simple List,27,27,9,A1
05_Day_Lists,day_5.py,Simple List,39,39,9,A1
05_Day_Lists,day_5.py,Simple List,46,46,9,A1
05_Day_Lists,day_5.py,Simple List,53,53,9,A1
05_Day_Lists,day_5.py,Simple List,60,60,9,A1
05_Day_Lists,day_5.py,Simple List,70,70,9,A1
05_Day_Lists,day_5.py,Simple List,77,77,9,A1
05_Day_Lists,day_5.py,Simple List,85,85,9,A1
05_Day_Lists,day_5.py,Simple List,93,93,9,A1
05_Day_Lists,day_5.py,Simple List,100,100,9,A1
05_Day_Lists,day_5.py,Simple List,108,108,9,A1
05_Day_Lists,day_5.py,Simple List,118,118,9,A1
05_Day_Lists,day_5.py,Simple List,124,124,9,A1
05_Day_Lists,day_5.py,Simple List,129,129,19,A1
05_Day_Lists,day_5.py,Simple List,130,130,7,A1
05_Day_Lists,day_5.py,Simple List,131,131,19,A1
05_Day_Lists,day_5.py,Simple List,134,134,9,A1
05_Day_Lists,day_5.py,Simple List,135,135,13,A1
05_Day_Lists,day_5.py,Simple List,140,140,7,A1
05_Day_Lists,day_5.py,Simple List,141,141,7,A1
05_Day_Lists,day_5.py,Simple List,144,144,19,A1
05_Day_Lists,day_5.py,Simple List,145,145,19,A1
05_Day_Lists,day_5.py,Simple List,146,146,7,A1
05_Day_Lists,day_5.py,Simple List,151,151,9,A1
05_Day_Lists,day_5.py,Simple List,152,152,13,A1
05_Day_Lists,day_5.py,Simple List,157,157,9,A1
05_Day_Lists,day_5.py,Simple List,159,159,7,A1
05_Day_Lists,day_5.py,Simple List,163,163,9,A1
05_Day_Lists,day_5.py,Simple List,165,165,7,A1
05_Day_Lists,day_5.py,Simple List,168,168,9,A1
05_Day_Lists,day_5.py,Simple List,171,171,7,A1
05_Day_Lists,day_5.py,Simple List,176,176,9,A1
05_Day_Lists,day_5.py,Simple List,181,181,7,A1
05_Day_Lists,day_5.py,Print,2,2,0,A1
05_Day_Lists,day_5.py,Print,15,15,0,A1
05_Day_Lists,day_5.py,Print,16,16,0,A1
05_Day_Lists,day_5.py,Print,17,17,0,A1
05_Day_Lists,day_5.py,Print,18,18,0,A1
05_Day_Lists,day_5.py,Print,19,19,0,A1
05_Day_Lists,day_5.py,Print,20,20,0,A1
05_Day_Lists,day_5.py,Print,21,21,0,A1
05_Day_Lists,day_5.py,Print,22,22,0,A1
05_Day_Lists,day_5.py,Print,23,23,0,A1
05_Day_Lists,day_5.py,Print,29,29,0,A1
05_Day_Lists,day_5.py,Print,31,31,0,A1
05_Day_Lists,day_5.py,Print,33,33,0,A1
05_Day_Lists,day_5.py,Print,42,42,0,A1
05_Day_Lists,day_5.py,Print,43,43,0,A1
05_Day_Lists,day_5.py,Print,62,62,0,A1
05_Day_Lists,day_5.py,Print,64,64,0,A1
05_Day_Lists,day_5.py,Print,67,67,0,A1
05_Day_Lists,day_5.py,Print,72,72,0,A1
05_Day_Lists,day_5.py,Print,74,74,0,A1
05_Day_Lists,day_5.py,Print,79,79,0,A1
05_Day_Lists,day_5.py,Print,82,82,0,A1
05_Day_Lists,day_5.py,Print,87,87,0,A1
05_Day_Lists,day_5.py,Print,90,90,0,A1
05_Day_Lists,day_5.py,Print,95,95,0,A1
05_Day_Lists,day_5.py,Print,97,97,0,A1
05_Day_Lists,day_5.py,Print,102,102,0,A1
05_Day_Lists,day_5.py,Print,105,105,0,A1
05_Day_Lists,day_5.py,Print,110,110,0,A1
05_Day_Lists,day_5.py,Print,113,113,0,A1
05_Day_Lists,day_5.py,Print,115,115,0,A1
05_Day_Lists,day_5.py,Print,120,120,0,A1
05_Day_Lists,day_5.py,Print,126,126,0,A1
05_Day_Lists,day_5.py,Print,133,133,0,A1
05_Day_Lists,day_5.py,Print,137,137,0,A1
05_Day_Lists,day_5.py,Print,143,143,0,A1
05_Day_Lists,day_5.py,Print,150,150,0,A1
05_Day_Lists,day_5.py,Print,154,154,0,A1
05_Day_Lists,day_5.py,Print,158,158,0,A1
05_Day_Lists,day_5.py,Print,160,160,0,A1
05_Day_Lists,day_5.py,Print,164,164,0,A1
05_Day_Lists,day_5.py,Print,166,166,0,A1
05_Day_Lists,day_5.py,Print,170,170,0,A1
05_Day_Lists,day_5.py,Print,173,173,0,A1
05_Day_Lists,day_5.py,Print,178,178,0,A1
05_Day_Lists,day_5.py,Print,180,180,0,A1
05_Day_Lists,day_5.py,Print,183,183,0,A1
05_Day_Lists,day_5.py,Print,185,185,0,A1
05_Day_Lists,day_5.py,Simple Atributte,78,78,0,A2
05_Day_Lists,day_5.py,Simple Atributte,81,81,0,A2
05_Day_Lists,day_5.py,Simple Atributte,86,86,0,A2
05_Day_Lists,day_5.py,Simple Atributte,89,89,0,A2
05_Day_Lists,day_5.py,Simple Atributte,94,94,0,A2
05_Day_Lists,day_5.py,Simple Atributte,96,96,0,A2
05_Day_Lists,day_5.py,Simple Atributte,101,101,0,A2
05_Day_Lists,day_5.py,Simple Atributte,104,104,0,A2
05_Day_Lists,day_5.py,Simple Atributte,119,119,0,A2
05_Day_Lists,day_5.py,Simple Atributte,125,125,14,A2
05_Day_Lists,day_5.py,Simple Atributte,142,142,0,A2
05_Day_Lists,day_5.py,Simple Atributte,148,148,0,A2
05_Day_Lists,day_5.py,Simple Atributte,149,149,0,A2
05_Day_Lists,day_5.py,Simple Atributte,153,153,0,A2
05_Day_Lists,day_5.py,Simple Atributte,169,169,0,A2
05_Day_Lists,day_5.py,Simple Atributte,172,172,0,A2
05_Day_Lists,day_5.py,Simple Atributte,177,177,0,A2
05_Day_Lists,day_5.py,Simple Atributte,179,179,0,A2
05_Day_Lists,day_5.py,Simple Atributte,182,182,0,A2
05_Day_Lists,day_5.py,Simple Atributte,184,184,0,A2
05_Day_Lists,day_5.py,Simple Atributte,158,158,6,A2
05_Day_Lists,day_5.py,Simple Atributte,160,160,6,A2
05_Day_Lists,day_5.py,Simple Atributte,164,164,6,A2
05_Day_Lists,day_5.py,Simple Atributte,166,166,6,A2
05_Day_Lists,day_5.py,Simple Atributte,170,170,6,A2
05_Day_Lists,day_5.py,Simple Atributte,173,173,6,A2
05_Day_Lists,day_5.py,Unary Operation,40,40,20,A1
05_Day_Lists,day_5.py,Unary Operation,41,41,21,A1
05_Day_Lists,day_5.py,Unary Operation,131,131,20,A1
05_Day_Lists,day_5.py,Unary Operation,131,131,24,A1
05_Day_Lists,day_5.py,Unary Operation,131,131,28,A1
05_Day_Lists,day_5.py,Unary Operation,131,131,32,A1
05_Day_Lists,day_5.py,Unary Operation,131,131,36,A1
05_Day_Lists,day_5.py,Unary Operation,144,144,20,A1
05_Day_Lists,day_5.py,Unary Operation,144,144,24,A1
05_Day_Lists,day_5.py,Unary Operation,144,144,28,A1
05_Day_Lists,day_5.py,Unary Operation,144,144,32,A1
05_Day_Lists,day_5.py,Unary Operation,144,144,36,A1
05_Day_Lists,day_5.py,Unary Operation,54,54,20,A1
05_Day_Lists,day_5.py,Unary Operation,56,56,26,A1
05_Day_Lists,day_5.py,Unary Operation,56,56,29,A1
05_Day_Lists,day_5.py,Unary Operation,57,57,28,A1
05_Day_Lists,day_5.py,Subscript,28,28,14,A1
05_Day_Lists,day_5.py,Subscript,30,30,15,A1
05_Day_Lists,day_5.py,Subscript,32,32,13,A1
05_Day_Lists,day_5.py,Subscript,36,36,13,A1
05_Day_Lists,day_5.py,Subscript,40,40,13,A1
05_Day_Lists,day_5.py,Subscript,41,41,14,A1
05_Day_Lists,day_5.py,Subscript,47,47,13,A1
05_Day_Lists,day_5.py,Subscript,49,49,13,A1
05_Day_Lists,day_5.py,Subscript,50,50,19,A1
05_Day_Lists,day_5.py,Subscript,51,51,21,A1
05_Day_Lists,day_5.py,Subscript,54,54,13,A1
