Repository,File Name,Type,Name,Line,End Line,Complexity,Rank,Parent,Error
30-Days-Of-Python,mymodule.py,function,generate_full_name,1,4,1,A,,
30-Days-Of-Python,mymodule.py,function,sum_two_nums,7,8,1,A,,
30-Days-Of-Python,mymodule.py,function,generate_full_name,1,4,1,A,,
30-Days-Of-Python,mymodule.py,function,sum_two_nums,6,7,1,A,,
30-Days-Of-Python,arithmetic.py,function,add_numbers,1,5,2,A,,
30-Days-Of-Python,arithmetic.py,function,subtract,8,9,1,A,,
30-Days-Of-Python,arithmetic.py,function,multiple,12,13,1,A,,
30-Days-Of-Python,arithmetic.py,function,division,16,17,1,A,,
30-Days-Of-Python,arithmetic.py,function,remainder,20,21,1,A,,
30-Days-Of-Python,arithmetic.py,function,power,24,25,1,A,,
30-Days-Of-Python,greet.py,function,greet_person,1,2,1,A,,
30-Days-Of-Python,app.py,function,post,29,35,3,A,,
30-Days-Of-Python,app.py,function,home,11,14,1,A,,
30-Days-Of-Python,app.py,function,about,18,20,1,A,,
30-Days-Of-Python,app.py,function,result,24,25,1,A,,
30-Days-Of-Python,arithmetics.py,function,add_numbers,1,5,2,A,,
30-Days-Of-Python,arithmetics.py,function,subtract,8,9,1,A,,
30-Days-Of-Python,arithmetics.py,function,multiple,12,13,1,A,,
30-Days-Of-Python,arithmetics.py,function,division,16,17,1,A,,
30-Days-Of-Python,arithmetics.py,function,remainder,20,21,1,A,,
30-Days-Of-Python,arithmetics.py,function,power,24,25,1,A,,
30-Days-Of-Python,greet.py,function,greet_person,1,2,1,A,,
