Repository,File Name,Class,Start Line,End Line,Displacement,Level
Analisis-CC-PyCEFR,main.py,Print,39,39,8,A1
Analisis-CC-PyCEFR,main.py,Simple Atributte,9,9,22,A2
Analisis-CC-PyCEFR,main.py,Simple Atributte,36,36,4,A2
Analisis-CC-PyCEFR,main.py,Simple Atributte,54,54,22,A2
Analisis-CC-PyCEFR,main.py,Simple Atributte,55,55,17,A2
Analisis-CC-PyCEFR,main.py,Simple Atributte,60,60,20,A2
Analisis-CC-PyCEFR,main.py,Simple Atributte,9,9,22,A2
Analisis-CC-PyCEFR,main.py,Simple Atributte,13,13,51,A2
Analisis-CC-PyCEFR,main.py,Simple Atributte,38,38,14,A2
Analisis-CC-PyCEFR,main.py,Simple Atributte,57,57,8,A2
Analisis-CC-PyCEFR,main.py,Simple Atributte,60,60,20,A2
Analisis-CC-PyCEFR,main.py,Simple Atributte,60,60,36,A2
Analisis-CC-PyCEFR,main.py,Simple Atributte,46,46,8,A2
Analisis-CC-PyCEFR,main.py,Simple Atributte,60,60,36,A2
Analisis-CC-PyCEFR,main.py,Simple Atributte,17,17,50,A2
Analisis-CC-PyCEFR,main.py,Simple Atributte,13,13,51,A2
Analisis-CC-PyCEFR,main.py,Unary Operation,38,38,32,A1
Analisis-CC-PyCEFR,main.py,Unary Operation,17,17,73,A1
Analisis-CC-PyCEFR,main.py,Unary Operation,13,13,74,A1
Analisis-CC-PyCEFR,main.py,Subscript,38,38,14,A1
Analisis-CC-PyCEFR,main.py,Subscript,54,54,22,A1
Analisis-CC-PyCEFR,main.py,Subscript,55,55,17,A1
Analisis-CC-PyCEFR,main.py,Subscript,17,17,50,A1
Analisis-CC-PyCEFR,main.py,Subscript,13,13,51,A1
Analisis-CC-PyCEFR,main.py,Simple Assignment,9,9,8,A1
Analisis-CC-PyCEFR,main.py,Assigment with sum (total = total + 1),34,34,4,A1
Analisis-CC-PyCEFR,main.py,Simple Assignment,35,35,4,A1
Analisis-CC-PyCEFR,main.py,Assigment with sum (total = total + 1),60,60,4,A1
Analisis-CC-PyCEFR,main.py,Simple Assignment,38,38,8,A1
Analisis-CC-PyCEFR,main.py,Simple Assignment,54,54,8,A1
Analisis-CC-PyCEFR,main.py,Simple Assignment,55,55,8,A1
Analisis-CC-PyCEFR,main.py,Import,1,1,0,A2
Analisis-CC-PyCEFR,main.py,Import,2,2,0,A2
Analisis-CC-PyCEFR,main.py,From with *statements ,3,3,0,B1
Analisis-CC-PyCEFR,main.py,Alias,1,1,7,A1
Analisis-CC-PyCEFR,main.py,Alias,2,2,7,A1
Analisis-CC-PyCEFR,main.py,Alias,3,3,36,A1
Analisis-CC-PyCEFR,main.py,If statements using → __name__ == ‘__main__’,51,64,0,B2
Analisis-CC-PyCEFR,main.py,Simple If statements,11,21,8,A1
Analisis-CC-PyCEFR,main.py,Simple If statements,37,46,4,A1
Analisis-CC-PyCEFR,main.py,Simple If statements,15,21,8,A1
Analisis-CC-PyCEFR,main.py,Simple If statements,41,46,4,A1
Analisis-CC-PyCEFR,main.py,Simple If statements,19,21,8,A1
Analisis-CC-PyCEFR,main.py,Simple If statements,43,46,4,A1
Analisis-CC-PyCEFR,main.py,Exception --> try/except,53,58,4,B1
Analisis-CC-PyCEFR,main.py,Except Handler,56,58,4,A1
Analisis-CC-PyCEFR,main.py,Function with Simple argument,7,21,0,A1
Analisis-CC-PyCEFR,main.py,Function with Simple argument,32,46,0,A1
Analisis-CC-PyCEFR,main.py,Return,13,13,12,A1
Analisis-CC-PyCEFR,main.py,Return,17,17,12,A1
Analisis-CC-PyCEFR,main.py,Return,21,21,12,A1
raw,generator.py,Simple List,69,69,18,A1
raw,generator.py,Simple List,207,207,36,A1
raw,generator.py,Simple List,275,275,18,A1
raw,generator.py,Simple List,276,276,17,A1
raw,generator.py,Simple List,277,277,17,A1
raw,generator.py,Simple List,278,278,14,A1
raw,generator.py,Simple Tuple,17,17,18,A1
raw,generator.py,Simple Tuple,18,18,12,A1
raw,generator.py,Simple Tuple,19,19,12,A1
raw,generator.py,Simple Tuple,20,20,12,A1
raw,generator.py,Simple Tuple,21,21,12,A1
raw,generator.py,Simple Tuple,22,22,12,A1
raw,generator.py,Simple Tuple,252,257,11,A1
raw,generator.py,Simple Tuple,251,251,46,A1
raw,generator.py,Simple Tuple,260,260,57,A1
raw,generator.py,Simple Tuple,269,269,95,A1
raw,generator.py,Simple Tuple,161,161,25,A1
raw,generator.py,Simple Tuple,182,182,92,A1
raw,generator.py,Simple Tuple,206,206,57,A1
raw,generator.py,Simple Tuple,261,261,18,A1
raw,generator.py,Simple Tuple,27,27,87,A1
raw,generator.py,Simple Tuple,171,171,26,A1
