case,project,file,file_name,class,start_line,end_line,displacement,level,level_num,source_file
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,7 Nested List,26,26,8,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,3 Nested List,27,27,19,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,26,26,9,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,26,26,18,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,26,26,27,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,26,26,36,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,26,26,46,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,26,26,56,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,26,26,66,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,27,27,20,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,27,27,30,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,27,27,40,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,7,7,15,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple List,22,22,19,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple Tuple,19,19,8,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Simple Tuple,12,12,12,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Print,29,29,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Print,30,30,0,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,'range' call function,10,10,13,A2,2,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Unary Operation,26,26,41,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Unary Operation,26,26,51,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Unary Operation,26,26,61,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Unary Operation,27,27,25,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Unary Operation,27,27,35,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Unary Operation,22,22,20,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Boolean Operation,21,21,11,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
python-algorithms,bellman_ford_algorithm,bellman_ford_algorithm.py,bellman_ford_algorithm.py,Boolean Operation,14,14,15,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json
