case,file,file_name,function,parent,lineno,endline,complexity,radon_grade,radon_grade_num,n_pycefr_constructs,n_pycefr_classes,max_level_num,max_level,mean_level_num,level_counts,top_classes
python-algorithms,/home/juan/Documents/Analisis-CC-PyCEFR/python-algorithms/algorithms/src/graph_algorithms/bellman_ford_algorithm/bellman_ford_algorithm.py,bellman_ford_algorithm.py,bellmanFord,,6,24,8,B,2,61,13,2.0,A2,1.0655737704918034,"{""A1"": 57, ""A2"": 4}","{""Subscript"": 16, ""Simple Assignment"": 8, ""Assigment with sum (total = total + 1)"": 6, ""Simple List"": 4, ""Simple Tuple"": 4, ""Boolean Operation"": 4, ""Simple If statements"": 4, ""Simple For Loop"": 4, ""Return"": 4, ""'range' call function"": 2}"
python-algorithms,/home/juan/Documents/Analisis-CC-PyCEFR/python-algorithms/algorithms/src/graph_algorithms/bfs/breath_first_search.py,breath_first_search.py,bfs,,3,17,5,A,1,18,10,3.0,B1,1.3333333333333333,"{""A1"": 13, ""A2"": 4, ""B1"": 1}","{""Simple Atributte"": 4, ""Simple Assignment"": 3, ""Simple List"": 2, ""Simple Tuple"": 2, ""Simple If statements"": 2, ""Subscript"": 1, ""Simple For Loop"": 1, ""While with Else Loop"": 1, ""Function with Simple argument"": 1, ""Return"": 1}"
python-algorithms,/home/juan/Documents/Analisis-CC-PyCEFR/python-algorithms/algorithms/src/graph_algorithms/dijkstras_algorithm/dijkstras_algorithm_with_min_heap.py,dijkstras_algorithm_with_min_heap.py,dijkstra,,31,45,5,A,1,46,12,5.0,C1,1.3043478260869565,"{""A1"": 40, ""A2"": 2, ""C1"": 2, ""B1"": 2}","{""Simple Assignment"": 12, ""Simple Tuple"": 8, ""Subscript"": 8, ""Simple List"": 2, ""'range' call function"": 2, ""Simple List Comprehension"": 2, ""Assigment with sum (total = total + 1)"": 2, ""Simple If statements"": 2, ""Simple For Loop"": 2, ""While with Else Loop"": 2}"
python-algorithms,/home/juan/Documents/Analisis-CC-PyCEFR/python-algorithms/algorithms/src/graph_algorithms/dijkstras_algorithm/dijkstras_algorithm_with_sorted_set.py,dijkstras_algorithm_with_sorted_set.py,dijkstra,,3,21,6,B,2,60,12,5.0,C1,1.3666666666666667,"{""A1"": 46, ""A2"": 10, ""C1"": 2, ""B1"": 2}","{""Subscript"": 12, ""Simple Assignment"": 12, ""Simple Tuple"": 10, ""Simple Atributte"": 8, ""Simple If statements"": 4, ""'range' call function"": 2, ""Simple List Comprehension"": 2, ""Assigment with sum (total = total + 1)"": 2, ""Simple For Loop"": 2, ""While with Else Loop"": 2}"
python-algorithms,/home/juan/Documents/Analisis-CC-PyCEFR/python-algorithms/algorithms/src/graph_algorithms/kosarajus_algorithm/kosarajus_algorithm.py,kosarajus_algorithm.py,get_strongly_connected_components,,1,17,5,A,1,44,11,3.0,B1,1.2272727272727273,"{""A1"": 36, ""A2"": 6, ""B1"": 2}","{""Simple Assignment"": 10, ""Simple List"": 8, ""Simple Tuple"": 4, ""Simple Atributte"": 4, ""Subscript"": 4, ""Simple If statements"": 4, ""'range' call function"": 2, ""Simple For Loop"": 2, ""While with Else Loop"": 2, ""Function with Simple argument"": 2}"
python-algorithms,/home/juan/Documents/Analisis-CC-PyCEFR/python-algorithms/algorithms/src/graph_algorithms/kosarajus_algorithm/kosarajus_algorithm.py,kosarajus_algorithm.py,transpose_graph,,26,33,4,A,1,28,10,5.0,C1,1.5714285714285714,"{""A1"": 18, ""A2"": 8, ""C1"": 2}","{""Subscript"": 6, ""'range' call function"": 4, ""Simple Assignment"": 4, ""Simple List"": 2, ""Simple Atributte"": 2, ""Simple List Comprehension"": 2, ""1 Nested For Loop"": 2, ""Simple For Loop"": 2, ""Function with Simple argument"": 2, ""Return"": 2}"
python-algorithms,/home/juan/Documents/Analisis-CC-PyCEFR/python-algorithms/algorithms/src/graph_algorithms/kosarajus_algorithm/kosarajus_algorithm.py,kosarajus_algorithm.py,top_sort,,19,24,3,A,1,16,6,4.0,B2,1.5,"{""A1"": 12, ""A2"": 2, ""B2"": 2}","{""Subscript"": 6, ""Simple Atributte"": 2, ""Simple Assignment"": 2, ""Simple If statements"": 2, ""Simple For Loop"": 2, ""Recursive Functions"": 2}"
python-algorithms,/home/juan/Documents/Analisis-CC-PyCEFR/python-algorithms/algorithms/src/graph_algorithms/kosarajus_algorithm/kosarajus_algorithm.py,kosarajus_algorithm.py,get_components,,35,41,3,A,1,16,6,4.0,B2,1.5,"{""A1"": 12, ""A2"": 2, ""B2"": 2}","{""Subscript"": 6, ""Simple Atributte"": 2, ""Simple Assignment"": 2, ""Simple If statements"": 2, ""Simple For Loop"": 2, ""Recursive Functions"": 2}"
python-algorithms,/home/juan/Documents/Analisis-CC-PyCEFR/python-algorithms/algorithms/src/graph_algorithms/topological_sort/topological_sort_recursion.py,topological_sort_recursion.py,Graph,,3,29,3,A,1,28,10,3.0,B1,1.4285714285714286,"{""A1"": 17, ""A2"": 10, ""B1"": 1}","{""Simple Atributte"": 10, ""Function with Simple argument"": 4, ""Simple Assignment"": 3, ""Simple List"": 2, ""Subscript"": 2, ""Simple If statements"": 2, ""Simple For Loop"": 2, ""Unary Operation"": 1, ""Return"": 1, ""Inherited Class from object Using the constructor method --> __init__"": 1}"
python-algorithms,/home/juan/Documents/Analisis-CC-PyCEFR/python-algorithms/algorithms/src/graph_algorithms/topological_sort/topological_sort_recursion.py,topological_sort_recursion.py,topological_sort_util,,11,18,3,A,1,9,6,2.0,A2,1.4444444444444444,"{""A1"": 5, ""A2"": 4}","{""Simple Atributte"": 4, ""Unary Operation"": 1, ""Subscript"": 1, ""Simple If statements"": 1, ""Simple For Loop"": 1, ""Function with Simple argument"": 1}"
