case,project,file,file_name,type,name,complexity,rank,rank_num,lineno,endline,col_offset,parent,closure_depth,source_file
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/11-Create-A-New-Function/test.py,test.py,function,test_for_return,4,A,1,21,26,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/11-Create-A-New-Function/test.py,test.py,function,test_function_exists,2,A,1,12,17,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/11-Create-A-New-Function/test.py,test.py,function,test_for_type_random,2,A,1,31,35,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/11-Create-A-New-Function/test.py,test.py,function,test_function_called_for,2,A,1,41,41,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/11-Create-A-New-Function/solution.hide.py,solution.hide.py,function,generate_random,1,A,1,4,6,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/04-Multiply-Two-Values/test.py,test.py,function,test_variable_exists,2,A,1,12,16,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/04-Multiply-Two-Values/test.py,test.py,function,test_use_variable_name,2,A,1,19,19,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/04-Multiply-Two-Values/test.py,test.py,function,test_for_file_output,2,A,1,24,24,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/04-Multiply-Two-Values/test.py,test.py,function,test_for_print,2,A,1,29,33,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/04-Multiply-Two-Values/test.py,test.py,function,test_for_print,2,A,1,37,39,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/06-String-Concatenation/test.py,test.py,function,test_my_var1_exists,2,A,1,7,11,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/06-String-Concatenation/test.py,test.py,function,test_my_var2_exists,2,A,1,14,18,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/06-String-Concatenation/test.py,test.py,function,test_my_var1_value,2,A,1,21,21,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/06-String-Concatenation/test.py,test.py,function,test_my_var2_value,2,A,1,26,26,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/06-String-Concatenation/test.py,test.py,function,test_the_new_string_exists,2,A,1,31,36,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/06-String-Concatenation/test.py,test.py,function,test_for_file_output,2,A,1,39,39,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/09-Random-Numbers/test.py,test.py,function,test_function_return_no_static,5,A,1,40,50,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/09-Random-Numbers/test.py,test.py,function,test_function_returns_random_integer,4,A,1,29,36,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/09-Random-Numbers/test.py,test.py,function,test_function_exists,3,A,1,22,26,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/09-Random-Numbers/test.py,test.py,function,test_only_change_line_5,2,A,1,13,18,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/09-Random-Numbers/solution.hide.py,solution.hide.py,function,get_randomInt,1,A,1,3,6,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/09-Random-Numbers/app.py,app.py,function,get_randomInt,1,A,1,3,6,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
python-beginner-programming-exercises,python-beginner-programming-exercises,/home/juan/Documents/Analisis-CC-PyCEFR/python-beginner-programming-exercises/exercises/03-Print-Variables-In-The-Console/test.py,test.py,function,test_declare_variable,2,A,1,12,12,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json
