Repository,File Name,Class,Start Line,End Line,Displacement,Level
11-Create-A-New-Function,test.py,'range' call function,25,25,13,A2
11-Create-A-New-Function,test.py,Files --> 'open' call function,32,32,9,A2
11-Create-A-New-Function,test.py,Files --> 'read' call function,33,33,18,A2
11-Create-A-New-Function,test.py,Simple Atributte,11,11,1,A2
11-Create-A-New-Function,test.py,Simple Atributte,20,20,1,A2
11-Create-A-New-Function,test.py,Simple Atributte,30,30,1,A2
11-Create-A-New-Function,test.py,Simple Atributte,43,43,4,A2
11-Create-A-New-Function,test.py,Simple Atributte,45,45,4,A2
11-Create-A-New-Function,test.py,Simple Atributte,45,45,17,A2
11-Create-A-New-Function,test.py,Simple Atributte,40,40,1,A2
11-Create-A-New-Function,test.py,Simple Atributte,8,8,7,A2
11-Create-A-New-Function,test.py,Simple Atributte,11,11,1,A2
11-Create-A-New-Function,test.py,Simple Atributte,20,20,1,A2
11-Create-A-New-Function,test.py,Simple Atributte,30,30,1,A2
11-Create-A-New-Function,test.py,Simple Atributte,42,42,22,A2
11-Create-A-New-Function,test.py,Simple Atributte,44,44,4,A2
11-Create-A-New-Function,test.py,Simple Atributte,46,46,13,A2
11-Create-A-New-Function,test.py,Simple Atributte,47,47,12,A2
11-Create-A-New-Function,test.py,Simple Atributte,40,40,1,A2
11-Create-A-New-Function,test.py,Simple Atributte,8,8,7,A2
11-Create-A-New-Function,test.py,Simple Atributte,8,8,23,A2
11-Create-A-New-Function,test.py,Simple Atributte,33,33,18,A2
11-Create-A-New-Function,test.py,Simple Atributte,34,34,16,A2
11-Create-A-New-Function,test.py,Simple Atributte,35,35,17,A2
11-Create-A-New-Function,test.py,Simple Atributte,8,8,23,A2
11-Create-A-New-Function,test.py,Simple Atributte,48,48,16,A2
11-Create-A-New-Function,test.py,Simple Atributte,36,36,20,A2
11-Create-A-New-Function,test.py,Simple Atributte,37,37,12,A2
11-Create-A-New-Function,test.py,Boolean Operation,27,27,15,A1
11-Create-A-New-Function,test.py,Boolean Operation,36,37,15,A1
11-Create-A-New-Function,test.py,Assigment with sum (total = total + 1),8,8,0,A1
11-Create-A-New-Function,test.py,Simple Assignment,23,23,4,A1
11-Create-A-New-Function,test.py,Simple Assignment,42,42,4,A1
11-Create-A-New-Function,test.py,Simple Assignment,43,43,4,A1
11-Create-A-New-Function,test.py,Simple Assignment,45,45,4,A1
11-Create-A-New-Function,test.py,Simple Assignment,46,46,4,A1
11-Create-A-New-Function,test.py,Simple Assignment,47,47,4,A1
11-Create-A-New-Function,test.py,Simple Assignment,26,26,8,A1
11-Create-A-New-Function,test.py,Simple Assignment,33,33,8,A1
11-Create-A-New-Function,test.py,Simple Assignment,34,34,8,A1
11-Create-A-New-Function,test.py,Simple Assignment,35,35,8,A1
11-Create-A-New-Function,test.py,'raise' exception,16,17,8,B1
11-Create-A-New-Function,test.py,'assert' exception,24,24,4,B2
11-Create-A-New-Function,test.py,'assert' exception,48,48,4,B2
11-Create-A-New-Function,test.py,'assert' exception,27,27,8,B2
11-Create-A-New-Function,test.py,'assert' exception,36,37,8,B2
11-Create-A-New-Function,test.py,Import,1,1,0,A2
11-Create-A-New-Function,test.py,Import,2,2,0,A2
11-Create-A-New-Function,test.py,Import,3,3,0,A2
11-Create-A-New-Function,test.py,Import,4,4,0,A2
11-Create-A-New-Function,test.py,Import're' module,5,5,0,C1
11-Create-A-New-Function,test.py,Import,6,6,0,A2
11-Create-A-New-Function,test.py,Import,7,7,0,A2
11-Create-A-New-Function,test.py,From,22,22,4,A2
11-Create-A-New-Function,test.py,From,14,14,8,A2
11-Create-A-New-Function,test.py,Alias,1,1,7,A1
11-Create-A-New-Function,test.py,Alias,2,2,7,A1
11-Create-A-New-Function,test.py,Alias,3,3,7,A1
11-Create-A-New-Function,test.py,Alias,4,4,7,A1
11-Create-A-New-Function,test.py,Alias,5,5,7,A1
11-Create-A-New-Function,test.py,Alias,6,6,7,A1
11-Create-A-New-Function,test.py,Alias,7,7,7,A1
11-Create-A-New-Function,test.py,Alias,22,22,20,A1
11-Create-A-New-Function,test.py,Alias,14,14,24,A1
11-Create-A-New-Function,test.py,Simple For Loop,25,27,4,A1
11-Create-A-New-Function,test.py,Exception --> try/except,13,17,4,B1
11-Create-A-New-Function,test.py,With,32,37,4,B1
11-Create-A-New-Function,test.py,Except Handler,15,17,4,A1
11-Create-A-New-Function,test.py,Function,12,17,0,A1
11-Create-A-New-Function,test.py,Function,21,27,0,A1
11-Create-A-New-Function,test.py,Function,31,37,0,A1
11-Create-A-New-Function,test.py,Function,41,48,0,A1
11-Create-A-New-Function,solution.hide.py,Print,8,8,0,A1
11-Create-A-New-Function,solution.hide.py,Simple Atributte,5,5,13,A2
11-Create-A-New-Function,solution.hide.py,Simple Assignment,5,5,4,A1
11-Create-A-New-Function,solution.hide.py,Import,1,1,0,A2
11-Create-A-New-Function,solution.hide.py,Alias,1,1,7,A1
11-Create-A-New-Function,solution.hide.py,Function,4,6,0,A1
11-Create-A-New-Function,solution.hide.py,Return,6,6,4,A1
11-Create-A-New-Function,app.py,Import,1,1,0,A2
11-Create-A-New-Function,app.py,Alias,1,1,7,A1
04-Multiply-Two-Values,test.py,Files --> 'open' call function,30,30,9,A2
04-Multiply-Two-Values,test.py,Files --> 'read' call function,31,31,18,A2
04-Multiply-Two-Values,test.py,Files --> 'open' call function,38,38,9,A2
04-Multiply-Two-Values,test.py,Files --> 'read' call function,39,39,18,A2
04-Multiply-Two-Values,test.py,Simple Atributte,3,3,0,A2
04-Multiply-Two-Values,test.py,Simple Atributte,3,3,22,A2
04-Multiply-Two-Values,test.py,Simple Atributte,11,11,1,A2
04-Multiply-Two-Values,test.py,Simple Atributte,18,18,1,A2
04-Multiply-Two-Values,test.py,Simple Atributte,23,23,1,A2
04-Multiply-Two-Values,test.py,Simple Atributte,28,28,1,A2
04-Multiply-Two-Values,test.py,Simple Atributte,36,36,1,A2
04-Multiply-Two-Values,test.py,Simple Atributte,9,9,7,A2
04-Multiply-Two-Values,test.py,Simple Atributte,11,11,1,A2
04-Multiply-Two-Values,test.py,Simple Atributte,20,20,13,A2
04-Multiply-Two-Values,test.py,Simple Atributte,18,18,1,A2
04-Multiply-Two-Values,test.py,Simple Atributte,25,25,15,A2
04-Multiply-Two-Values,test.py,Simple Atributte,23,23,1,A2
04-Multiply-Two-Values,test.py,Simple Atributte,28,28,1,A2
