Repository,File Name,Type,Name,Line,End Line,Complexity,Rank,Parent,Error
python-beginner-programming-exercises,test.py,function,test_for_return,21,26,4,A,,
python-beginner-programming-exercises,test.py,function,test_function_exists,12,17,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_type_random,31,35,2,A,,
python-beginner-programming-exercises,test.py,function,test_function_called_for,41,41,2,A,,
python-beginner-programming-exercises,solution.hide.py,function,generate_random,4,6,1,A,,
python-beginner-programming-exercises,test.py,function,test_variable_exists,12,16,2,A,,
python-beginner-programming-exercises,test.py,function,test_use_variable_name,19,19,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_file_output,24,24,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_print,29,33,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_print,37,39,2,A,,
python-beginner-programming-exercises,test.py,function,test_my_var1_exists,7,11,2,A,,
python-beginner-programming-exercises,test.py,function,test_my_var2_exists,14,18,2,A,,
python-beginner-programming-exercises,test.py,function,test_my_var1_value,21,21,2,A,,
python-beginner-programming-exercises,test.py,function,test_my_var2_value,26,26,2,A,,
python-beginner-programming-exercises,test.py,function,test_the_new_string_exists,31,36,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_file_output,39,39,2,A,,
python-beginner-programming-exercises,test.py,function,test_function_return_no_static,40,50,5,A,,
python-beginner-programming-exercises,test.py,function,test_function_returns_random_integer,29,36,4,A,,
python-beginner-programming-exercises,test.py,function,test_function_exists,22,26,3,A,,
python-beginner-programming-exercises,test.py,function,test_only_change_line_5,13,18,2,A,,
python-beginner-programming-exercises,solution.hide.py,function,get_randomInt,3,6,1,A,,
python-beginner-programming-exercises,app.py,function,get_randomInt,3,6,1,A,,
python-beginner-programming-exercises,test.py,function,test_declare_variable,12,12,2,A,,
python-beginner-programming-exercises,test.py,function,test_declare_variable,17,17,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_file_output,22,22,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_file_output,27,27,5,A,,
python-beginner-programming-exercises,test.py,function,test_function_output,20,21,4,A,,
python-beginner-programming-exercises,test.py,function,test_function_spin_chamber,12,12,2,A,,
python-beginner-programming-exercises,test.py,function,test_function_fire_gun,16,16,2,A,,
python-beginner-programming-exercises,solution.hide.py,function,fire_gun,10,15,2,A,,
python-beginner-programming-exercises,solution.hide.py,function,spin_chamber,5,7,1,A,,
python-beginner-programming-exercises,app.py,function,spin_chamber,5,7,1,A,,
python-beginner-programming-exercises,app.py,function,fire_gun,10,12,1,A,,
python-beginner-programming-exercises,test.py,function,test_for_file_output,27,27,5,A,,
python-beginner-programming-exercises,test.py,function,test_variable_exists,13,17,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_loop,20,23,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_print,37,40,2,A,,
python-beginner-programming-exercises,test.py,function,test_callTheFunction,44,48,2,A,,
python-beginner-programming-exercises,solution.hide.py,function,standards_maker,1,4,2,A,,
python-beginner-programming-exercises,app.py,error,,,,,,,"expected an indented block after function definition on line 1 (<unknown>, line 5)"
python-beginner-programming-exercises,test.py,function,test_function_existence,13,17,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_loop,20,23,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_function_output,27,27,2,A,,
python-beginner-programming-exercises,solution.hide.py,function,fizz_buzz,1,11,6,B,,
python-beginner-programming-exercises,app.py,error,,,,,,,"expected an indented block after function definition on line 1 (<unknown>, line 5)"
python-beginner-programming-exercises,test.py,function,test_for_file_output,11,16,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_console_log,20,20,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_print,12,16,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_variable,20,24,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_file_output,28,28,2,A,,
python-beginner-programming-exercises,test.py,function,test_function_existence,13,17,2,A,,
python-beginner-programming-exercises,test.py,function,test_conditional,20,24,2,A,,
python-beginner-programming-exercises,test.py,function,test_print_output,28,28,2,A,,
python-beginner-programming-exercises,test.py,function,test_function_called_for,33,36,2,A,,
python-beginner-programming-exercises,solution.hide.py,function,get_randomInt,3,6,1,A,,
python-beginner-programming-exercises,app.py,function,get_randomInt,3,5,1,A,,
python-beginner-programming-exercises,test.py,function,test_for_function,11,15,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_function_print,18,22,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_print,27,30,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_return,34,34,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_return_2,40,40,2,A,,
python-beginner-programming-exercises,solution.hide.py,function,add_numbers,1,3,1,A,,
python-beginner-programming-exercises,app.py,error,,,,,,,"expected an indented block after function definition on line 1 (<unknown>, line 6)"
python-beginner-programming-exercises,test.py,function,test_for_function_existence,13,17,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_function_output,20,20,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_loop,26,29,2,A,,
python-beginner-programming-exercises,solution.hide.py,function,start_counting,1,4,2,A,,
python-beginner-programming-exercises,app.py,function,start_counting,1,4,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_print,6,9,2,A,,
python-beginner-programming-exercises,test.py,function,test_for_print,13,16,2,A,,
