case,file,file_name,function,parent,lineno,endline,complexity,radon_grade,radon_grade_num,n_pycefr_constructs,n_pycefr_classes,max_level_num,max_level,mean_level_num,level_counts,top_classes,case_type
python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/birthDateToCurrentAge.py,birthDateToCurrentAge.py,ageCalculator,,4,27,3,A,1,24,9,2,A2,1.2083333333333333,"{""A1"": 19, ""A2"": 5}","{""Simple Assignment"": 6, ""Assigment with sum (total = total + 1)"": 5, ""Formatted Value"": 3, ""Simple Atributte"": 3, ""Simplified incremental Assignment with increase amount"": 2, ""Simple If statements"": 2, ""Joined String"": 1, ""Print"": 1, ""Function with Simple argument"": 1}",Sin patrón destacado
python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Snake Game/snake_game.py,snake_game.py,change_direction,,87,102,9,B,2,13,3,1,A1,1.0,"{""A1"": 13}","{""Simple If statements"": 8, ""Simple Assignment"": 4, ""Function with Simple argument"": 1}",Radon alto / PyCEFR bajo
python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Snake Game/snake_game.py,snake_game.py,next_turn,,41,84,8,B,2,45,11,2,A2,1.4666666666666666,"{""A1"": 24, ""A2"": 21}","{""Simple Atributte"": 16, ""Subscript"": 6, ""Simple If statements"": 6, ""Unary Operation"": 3, ""Simple Assignment"": 3, ""Simplified incremental Assignment with increase amount"": 3, ""Simple Tuple"": 2, ""Simplified incremental Assignment with decrease subtraction"": 2, ""Delete"": 2, ""Boolean Operation"": 1}",Radon alto / PyCEFR bajo; Muchos constructos simples acumulados
python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Snake Game/snake_game.py,snake_game.py,check_collisions,,105,118,8,B,2,21,10,2,A2,1.0952380952380953,"{""A1"": 19, ""A2"": 2}","{""Subscript"": 4, ""Return"": 4, ""Boolean Operation"": 3, ""Simple If statements"": 3, ""Simple Atributte"": 2, ""Simple Tuple"": 1, ""Slice"": 1, ""Simple Assignment"": 1, ""Simple For Loop"": 1, ""Function with Simple argument"": 1}",Radon alto / PyCEFR bajo
python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Snake Game/snake_game.py,snake_game.py,Snake,,14,26,4,A,1,22,9,3,B1,1.5909090909090908,"{""A2"": 11, ""A1"": 10, ""B1"": 1}","{""Simple Atributte"": 9, ""Simple Assignment"": 4, ""Simple List"": 3, ""Simple Tuple"": 1, ""'range' call function"": 1, ""Simple For Loop"": 1, ""For Loop with Tuple as name"": 1, ""Function with Simple argument"": 1, ""Simple Class  Using the constructor method --> __init__"": 1}",Sin patrón destacado
python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Snake Game/snake_game.py,snake_game.py,__init__,,16,26,3,A,1,21,8,2,A2,1.5238095238095237,"{""A2"": 11, ""A1"": 10}","{""Simple Atributte"": 9, ""Simple Assignment"": 4, ""Simple List"": 3, ""Simple Tuple"": 1, ""'range' call function"": 1, ""Simple For Loop"": 1, ""For Loop with Tuple as name"": 1, ""Function with Simple argument"": 1}",Sin patrón destacado
python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Snake Game/snake_game.py,snake_game.py,Food,,29,38,2,A,1,10,6,3,B1,1.6,"{""A1"": 5, ""A2"": 4, ""B1"": 1}","{""Simple Atributte"": 4, ""Assigment with sum (total = total + 1)"": 2, ""Simple List"": 1, ""Simple Assignment"": 1, ""Function with Simple argument"": 1, ""Simple Class  Using the constructor method --> __init__"": 1}",Sin patrón destacado
python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Snake Game/snake_game.py,snake_game.py,game_over,,121,125,1,A,1,6,3,2,A2,1.6666666666666667,"{""A2"": 4, ""A1"": 2}","{""Simple Atributte"": 4, ""Simple Tuple"": 1, ""Function"": 1}",Sin patrón destacado
python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Snake Game/snake_game.py,snake_game.py,__init__,,31,38,1,A,1,9,5,2,A2,1.4444444444444444,"{""A1"": 5, ""A2"": 4}","{""Simple Atributte"": 4, ""Assigment with sum (total = total + 1)"": 2, ""Simple List"": 1, ""Simple Assignment"": 1, ""Function with Simple argument"": 1}",Sin patrón destacado
python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Capture_Video_Frames/capture_video_frames.py,capture_video_frames.py,FrameCapture,,6,36,3,A,1,32,11,3,B1,1.625,"{""A2"": 16, ""A1"": 14, ""B1"": 2}","{""Simple Atributte"": 14, ""Simple Assignment"": 7, ""Formatted Value"": 2, ""Function with Simple argument"": 2, ""Simple Tuple"": 1, ""Joined String"": 1, ""Files --> 'read' call function"": 1, ""Simplified incremental Assignment with increase amount"": 1, ""Simple If statements"": 1, ""While with Else Loop"": 1}",Sin patrón destacado
