case,project,file,file_name,class,start_line,end_line,displacement,level,level_num,source_file
python-mini-projects,Snake Game,snake_game.py,snake_game.py,Simple List,18,18,27,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/data_pycefr.json
python-mini-projects,Snake Game,snake_game.py,snake_game.py,Simple List,19,19,23,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/data_pycefr.json
python-mini-projects,Snake Game,snake_game.py,snake_game.py,Simple List,36,36,27,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/data_pycefr.json
python-mini-projects,Snake Game,snake_game.py,snake_game.py,Simple List,22,22,36,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/data_pycefr.json
python-mini-projects,Snake Game,snake_game.py,snake_game.py,Simple Tuple,43,43,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/data_pycefr.json
python-mini-projects,Snake Game,snake_game.py,snake_game.py,Simple Tuple,107,107,4,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/data_pycefr.json
python-mini-projects,Snake Game,snake_game.py,snake_game.py,Simple Tuple,24,24,12,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/data_pycefr.json
python-mini-projects,Snake Game,snake_game.py,snake_game.py,Simple Tuple,54,54,32,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/data_pycefr.json
python-mini-projects,Snake Game,snake_game.py,snake_game.py,Simple Tuple,135,135,58,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/data_pycefr.json
python-mini-projects,Snake Game,snake_game.py,snake_game.py,Simple Tuple,125,125,28,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/data_pycefr.json
python-mini-projects,Snake Game,snake_game.py,snake_game.py,Formatted Value,151,151,18,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/data_pycefr.json
python-mini-projects,Snake Game,snake_game.py,snake_game.py,Formatted Value,151,151,33,A1,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/data_pycefr.json
