Repository,File Name,Type,Name,Line,End Line,Complexity,Rank,Parent,Error
python-mini-projects,birthDateToCurrentAge.py,function,ageCalculator,4,27,3,A,,
python-mini-projects,snake_game.py,function,change_direction,87,102,9,B,,
python-mini-projects,snake_game.py,function,next_turn,41,84,8,B,,
python-mini-projects,snake_game.py,function,check_collisions,105,118,8,B,,
python-mini-projects,snake_game.py,class,Snake,14,26,4,A,,
python-mini-projects,snake_game.py,method,__init__,16,26,3,A,,
python-mini-projects,snake_game.py,class,Food,29,38,2,A,,
python-mini-projects,snake_game.py,function,game_over,121,125,1,A,,
python-mini-projects,snake_game.py,method,__init__,31,38,1,A,,
python-mini-projects,capture_video_frames.py,class,FrameCapture,6,36,3,A,,
python-mini-projects,capture_video_frames.py,method,__init__,10,19,2,A,,
python-mini-projects,capture_video_frames.py,method,capture_frames,21,36,2,A,,
python-mini-projects,random_password_gen.py,function,generate_pass,20,28,4,A,,
python-mini-projects,ball_bounce.py,method,move_ball,26,40,7,B,,
python-mini-projects,ball_bounce.py,class,ball,15,40,4,A,,
python-mini-projects,ball_bounce.py,method,__init__,18,22,1,A,,
python-mini-projects,ball_bounce.py,method,render_ball,24,25,1,A,,
python-mini-projects,converter.py,function,converter,19,72,34,E,,
python-mini-projects,Hostname_IPaddress.py,function,get_hostname_IP,4,10,2,A,,
python-mini-projects,main.py,function,main,20,33,3,A,,
python-mini-projects,main.py,function,detect_align_faces,36,59,2,A,,
python-mini-projects,main.py,function,shape_to_pos,62,70,2,A,,
python-mini-projects,file-sortor.py,function,sorting,25,31,4,A,,
python-mini-projects,generator.py,function,stretch,4,9,2,A,,
python-mini-projects,generator.py,function,get_random_char,11,14,1,A,,
python-mini-projects,speech_to_text.py,function,record_voice,3,15,2,A,,
python-mini-projects,Rock-Paper-Scissors Game.py,function,spin,23,58,16,C,,
python-mini-projects,merge_pdfs.py,function,by_appending,7,15,1,A,,
python-mini-projects,merge_pdfs.py,function,by_inserting,19,23,1,A,,
python-mini-projects,main.py,method,checkBtn_click,161,202,4,A,,
python-mini-projects,main.py,class,SampleApp,16,27,3,A,,
python-mini-projects,main.py,class,CountryPage,82,237,3,A,,
