case,file,path,extension,detected_type,size_kb
30-Days-Of-Python,data_pycefr.csv,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/data_pycefr.csv,.csv,pycefr_csv,70.0
30-Days-Of-Python,data_pycefr.json,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/data_pycefr.json,.json,pycefr_json,278.81
30-Days-Of-Python,radon_output_30-Days-Of-Python.csv,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.csv,.csv,radon_csv,1.39
30-Days-Of-Python,radon_output_30-Days-Of-Python.json,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/30-Days-Of-Python/radon_output_30-Days-Of-Python.json,.json,radon_json,6.96
Analisis-CC-PyCEFR,data_pycefr.csv,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/Analisis-CC-PyCEFR/data_pycefr.csv,.csv,pycefr_csv,22.44
Analisis-CC-PyCEFR,data_pycefr.json,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/Analisis-CC-PyCEFR/data_pycefr.json,.json,pycefr_json,99.68
Analisis-CC-PyCEFR,radon_output_Analisis-CC-PyCEFR.csv,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/Analisis-CC-PyCEFR/radon_output_Analisis-CC-PyCEFR.csv,.csv,radon_csv,1.13
Analisis-CC-PyCEFR,radon_output_Analisis-CC-PyCEFR.json,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/Analisis-CC-PyCEFR/radon_output_Analisis-CC-PyCEFR.json,.json,radon_json,4.89
python-algorithms,data_pycefr.csv,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.csv,.csv,pycefr_csv,1631.76
python-algorithms,data_pycefr.json,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/data_pycefr.json,.json,pycefr_json,4516.54
python-algorithms,radon_output_python-algorithms.csv,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/radon_output_python-algorithms.csv,.csv,radon_csv,106.51
python-algorithms,radon_output_python-algorithms.json,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/radon_output_python-algorithms.json,.json,radon_json,711.76
python-beginner-programming-exercises,data_pycefr.csv,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.csv,.csv,pycefr_csv,67.03
python-beginner-programming-exercises,data_pycefr.json,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/data_pycefr.json,.json,pycefr_json,242.52
python-beginner-programming-exercises,radon_output_python-beginner-programming-exercises.csv,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.csv,.csv,radon_csv,10.03
python-beginner-programming-exercises,radon_output_python-beginner-programming-exercises.json,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-beginner-programming-exercises/radon_output_python-beginner-programming-exercises.json,.json,radon_json,38.13
python-mini-projects,data_pycefr.csv,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/data_pycefr.csv,.csv,pycefr_csv,662.79
python-mini-projects,data_pycefr.json,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/data_pycefr.json,.json,pycefr_json,2259.24
python-mini-projects,radon_output_python-mini-projects.csv,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.csv,.csv,radon_csv,22.27
python-mini-projects,radon_output_python-mini-projects.json,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json,.json,radon_json,145.46
