case,project,file,file_name,type,name,complexity,radon_grade,radon_grade_num,lineno,endline,col_offset,parent,closure_depth,source_file
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/chatbot/bot.py,bot.py,method,on_message,34,E,5,41,171,4,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Convert_numbers_to_word/converter.py,converter.py,function,converter,34,E,5,19,72,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Billing_system/biling_system.py,biling_system.py,method,bill_area,27,D,4,288,345,4,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Tic_tac_toe_with_ai/tic-tac-toe-AI.py,tic-tac-toe-AI.py,function,win_check,24,D,4,154,168,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Scrape_Hacker_News/main.py,main.py,function,fetch,17,C,3,15,82,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Terminal_Based_Hangman_Game/hangman.py,hangman.py,function,play,16,C,3,16,101,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/GUI Rock-Paper-Scissors Game/Rock-Paper-Scissors Game.py,Rock-Paper-Scissors Game.py,function,spin,16,C,3,23,58,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-algorithms,python-algorithms,/home/juan/Documents/Analisis-CC-PyCEFR/python-algorithms/EPI_prep/src/binary_search_trees/9_ordered_bst_nodes/is_bst_ordered.py,is_bst_ordered.py,function,is_bst_ordered,16,C,3,25,51,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/radon_output_python-algorithms.json
python-algorithms,python-algorithms,/home/juan/Documents/Analisis-CC-PyCEFR/python-algorithms/data-structures/src/tree/avl-tree/avl_tree.py,avl_tree.py,function,deleteNode,14,C,3,190,222,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/radon_output_python-algorithms.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Tic_tac_toe_with_ai/tic-tac-toe-AI.py,tic-tac-toe-AI.py,function,CompAI,14,C,3,95,124,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-algorithms,python-algorithms,/home/juan/Documents/Analisis-CC-PyCEFR/python-algorithms/patterns/src/14_topological_sort/alien_dictionary/alien_dictionary.py,alien_dictionary.py,function,find_order,13,C,3,18,59,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/radon_output_python-algorithms.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Web_page_summation/utils/utils.py,utils.py,function,build_dataset,13,C,3,59,80,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-algorithms,python-algorithms,/home/juan/Documents/Analisis-CC-PyCEFR/python-algorithms/leetcode/src/binary_trees/lc_617_merge_two_binary_trees/merge_two_binary_trees.py,merge_two_binary_trees.py,function,mergeTreesHelper,13,C,3,9,23,4,merge_trees,1,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/radon_output_python-algorithms.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Instagram_profile/profilepic.py,profilepic.py,function,pp_download,13,C,3,8,59,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
python-algorithms,python-algorithms,/home/juan/Documents/Analisis-CC-PyCEFR/python-algorithms/patterns/src/13_k_way_merge/median_in_sorted_arrays/median_in_sorted_arrays.py,median_in_sorted_arrays.py,function,merge_arrays,12,C,3,13,48,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-algorithms/radon_output_python-algorithms.json
python-mini-projects,python-mini-projects,/home/juan/Documents/Analisis-CC-PyCEFR/python-mini-projects/projects/Store_emails_in_csv/store_emails.py,store_emails.py,function,write_to_csv,12,C,3,44,96,0,,0,/home/juan/Documents/Analisis-CC-PyCEFR/data/processed/python-mini-projects/radon_output_python-mini-projects.json
